subject,regression_coef,value
90,X2o,0.2849811442690795
90,X3o,0.179867943714673
90,X1mo,-0.0040546604316452
90,X2mo,-0.01808192548411195
90,X3mo,0.0376203312008591
91,X1o,0.467310808922026
91,X2o,0.04051128219618531
91,X3o,-0.03475704935978175
91,X1mo,-0.005200211031517215
91,X2mo,-0.03655871834060935
91,X3mo,0.020580458608120453
92,X1o,0.18574550046044863
92,X2o,0.09695209353169974
92,X3o,0.0585632063734942
92,X1mo,-0.015238478922773252
92,X2mo,-0.04795309864900625
92,X3mo,0.0037291056039751
93,X1o,0.2986858427198985
93,X2o,0.135230326702386
93,X3o,0.06071685950271084
93,X1mo,0.06453717833771745
93,X2mo,0.016249171985664862
93,X3mo,0.0251084808968199
94,X1o,0.16844991810926951
94,X2o,0.10058161116486021
94,X3o,0.030023257469293404
94,X1mo,0.03984305156213955
94,X2mo,-0.018568915163726198
94,X3mo,-0.0246786336700531
95,X1o,0.24828469441126427
95,X2o,0.14586460608098567
95,X3o,0.14886414590210464
95,X1mo,0.04743094314263656
95,X2mo,0.008609602470548185
95,X3mo,-0.018403361308240447
96,X1o,0.310306600349625
96,X2o,0.11159184835383751
96,X3o,0.0445775582252486
96,X1mo,0.05216147913614515
96,X2mo,0.019773601899374917
96,X3mo,0.03313674412857765
97,X1o,0.6429253326451569
97,X2o,0.28580167437247905
97,X3o,0.14709896835165948
97,X1mo,0.05991298949893165
97,X2mo,0.02395624106804175
97,X3mo,-0.02238281145657388
98,X1o,0.151906505178664
98,X2o,0.10481850257883416
98,X3o,0.14397878172295298
98,X1mo,0.013229326685525098
98,X2mo,0.0238090198030514
98,X3mo,-0.008259760883893375
99,X1o,0.133833098715853
99,X2o,-0.0520056631392228
99,X3o,-0.0532023471232734
99,X1mo,0.024277357432243407
99,X2mo,0.013236669693063799
99,X3mo,9.376446513969967e-4
100,X1o,0.1747310477529465
100,X2o,0.038145448806722736
100,X3o,0.07255902341218975
100,X1mo,0.0316696077364044
100,X2mo,-0.00868582295963678
100,X3mo,-0.043826482074376255
101,X1o,0.32127687734863253
101,X2o,0.18061886728923404
101,X3o,0.015052452101317351
101,X1mo,0.056873643443917446
101,X2mo,-0.15584614376782618
101,X3mo,-0.04213711216330825
102,X1o,0.279872756173003
102,X2o,0.310019275466855
102,X3o,0.21451106026843053
102,X1mo,0.01912792612681265
102,X2mo,-0.040360912058744
102,X3mo,-0.03158628819914538
103,X1o,0.187349642298904
103,X2o,0.1328450376000816
103,X3o,0.0496417055962613
103,X1mo,0.0399618375335724
103,X2mo,0.01889326184215
103,X3mo,0.01632745308613864
104,X1o,0.5677170572275625
104,X2o,0.1728536437878095
104,X3o,0.0355467433637685
104,X1mo,-0.0185597534066986
104,X2mo,0.06409959618522457
104,X3mo,-0.00480247125620125
105,X1o,0.09926319439316805
105,X2o,0.052410154379338644
105,X3o,0.0062371890362280975
105,X1mo,-6.888347712501498e-4
105,X2mo,0.03486686972436415
105,X3mo,0.0313847599209318
106,X1o,0.383094808214984
106,X2o,0.19151920972788683
106,X3o,-0.0147412595045621
106,X1mo,0.03560199691941182
106,X2mo,-0.02538377483482875
106,X3mo,-0.013104256980546666
107,X1o,0.1584733864504315
107,X2o,0.10477998781925565
107,X3o,0.03884825814279005
107,X1mo,0.008059468572940374
107,X2mo,0.015833689082520114
107,X3mo,0.03400313432759665
108,X1o,0.09734301856680175
108,X2o,0.022856455257532014
108,X3o,-0.009624808569628364
108,X1mo,-0.00520011692343855
108,X2mo,0.015882143657705815
108,X3mo,-0.01980620455957251
109,X1o,0.2258539617937655
109,X2o,0.1242237338775746
109,X3o,0.058290620643893
109,X1mo,0.02524614254783785
109,X2mo,0.00746881983739623
109,X3mo,0.012468790023527649
110,X1o,0.1457519549870205
