subject,regression_coef,value
89,X3,0.0998232307597982
90,X1,0.419474098939279
90,X2,0.344459196063034
90,X3,0.299146809728825
91,X1,1.31478714219356
91,X2,0.258575094027538
91,X3,0.115994560504839
92,X1,0.0767045529787993
92,X2,0.0174598994347385
92,X3,0.00698378447590117
93,X1,0.546926355436184
93,X2,0.217329676408913
93,X3,0.00817708517261379
94,X1,0.245447895721438
94,X2,0.271710870556028
94,X3,0.152623104746152
95,X1,0.14842190382444
95,X2,0.0916634962875127
95,X3,0.103865240226595
96,X1,0.655237120322821
96,X2,0.1989246583777455
96,X3,0.13993540896821
97,X1,1.23382890287823
97,X2,0.301690032257141
97,X3,0.256950617013123
98,X1,0.179009884040138
98,X2,0.123543532426654
98,X3,0.226547506974328
99,X1,0.331356884623591
99,X2,-0.0598780715597479
99,X3,-0.185402605595054
100,X1,0.236831236003379
100,X2,0.0630258603993807
100,X3,-0.0377750204590027
101,X1,0.618338292405345
101,X2,0.372756143581315
101,X3,0.236093673541611
102,X1,0.0989985267043016
102,X2,0.449090312371035
102,X3,0.264915080391471
103,X1,0.231319412397725
103,X2,0.184487652519547
103,X3,0.00427533803443166
104,X1,0.740688245208943
104,X2,0.217905131108898
104,X3,0.241394776729747
105,X1,0.141516762494542
105,X2,0.236605128936376
105,X3,0.185949856660021
106,X1,1.18258261285378
106,X2,0.486874165618973
106,X3,-0.0993948896790756
107,X1,0.183950742271913
107,X2,0.14403620372722
107,X3,0.0813548384577012
108,X1,0.112439747711488
108,X2,-0.00689717143862648
108,X3,0.00952294115780339
109,X1,0.418679850061377
109,X2,0.292283599629769
109,X3,0.181130677094301
110,X1,0.236476319422709
110,X2,0.166173414370307
110,X3,0.142518351336616
111,X1,0.55906165193795
111,X2,0.46828419332960447
111,X3,0.1988274770979741
112,X1,1.1190096221258
112,X2,0.526426390125349
112,X3,0.17585073474198
113,X1,0.41462632562166
113,X2,0.317099498303413
113,X3,0.367713202875763
114,X1,0.5745240721553575
114,X2,0.23447616854397302
114,X3,0.04061731139166805
115,X1,0.259383006262109
115,X2,0.0424143277461288
115,X3,0.218422539965777
116,X1,0.685813977731667
116,X2,0.28877241448449
116,X3,0.0324553875785521
117,X1,0.781118219402502
117,X2,-0.048260258865764
117,X3,-0.0825197626450789
118,X1,NA
118,X2,NA
118,X3,NA
119,X1,1.22684331400601
119,X2,0.3390007441993295
119,X3,0.009827506435295553
120,X1,0.5608106770077765
120,X2,0.3317617825556225
120,X3,0.10945312995464661
121,X1,0.947635040156127
121,X2,0.20313079085911
121,X3,0.299884670783936
122,X1,1.2752694059027299
122,X2,0.778628306052864
122,X3,0.39322471408924653
123,X1,1.746405612471635
123,X2,0.4250502835953865
123,X3,0.2307684712022475
124,X1,0.103860189868206
124,X2,0.0653130964291315
124,X3,-0.00201673803228832
125,X1,0.8253616874221461
125,X2,0.4089778425527385
125,X3,-0.017269255013094155
126,X1,0.511209134535557
126,X2,0.251932844156432
126,X3,0.184594301013018
127,X1,-0.126311817027635
127,X2,0.246829513427747
127,X3,0.234305045262052
128,X1,1.67410599742728
128,X2,0.555061205211639
128,X3,0.0979184971306275
129,X1,0.0389525506980137
129,X2,0.0566401962112588
129,X3,0.143140771898113
130,X1,0.621274065539937
130,X2,0.331025214795061
130,X3,0.349320160623803
131,X1,0.321515174128467
131,X2,0.335188461337883
131,X3,0.161954518225463
132,X1,0.40266393554649
132,X2,0.06860678237744355
132,X3,0.0801624409020979
133,X1,0.134166562303385
133,X2,0.0967623209707839
133,X3,-0.0147706057949859
134,X1,-0.234871859031988
134,X2,-0.145611756544191
134,X3,-0.156648511785259
135,X1,1.42081313680711
135,X2,0.208664661787147
135,X3,-0.0209891184470456
136,X1,0.339022448921054
136,X2,0.0473829457584806
136,X3,-0.0487088621498903
137,X1,0.0296670370569064
137,X2,0.0975884607690503
137,X3,0.130937776395012
138,X1,0.31624528182601597
138,X2,0.1579536533455485
138,X3,0.09223345958838994
139,X1,2.36138600757075
139,X2,0.0364049027688527
139,X3,0.0796817333746131
140,X1,0.943988381071976
140,X2,0.41170897721967503
140,X3,0.1618103844157795
141,X1,0.819289236627482
141,X2,0.282838739748909
141,X3,-0.0352746694432081
142,X1,0.729016531618859
142,X2,0.01739899947283375
142,X3,0.1216492081958995
143,X1,0.692702994161874
143,X2,0.33534145284496
143,X3,0.207995507208055
144,X1,0.604229714222047
144,X2,0.442186860494472
144,X3,0.33720657876797
145,X1,NA
145,X2,NA
145,X3,NA
146,X1,0.769445040734542
146,X2,0.217055110944712
146,X3,0.0521862942004516
147,X1,0.829285140611761
147,X2,0.51478739597722
147,X3,0.137156669845274
148,X1,0.162042131483164
148,X2,0.144006352686642
148,X3,0.137595822623358
149,X1,0.226158169326919
149,X2,0.142271442471058
149,X3,0.166642114449114
150,X1,0.50846484345812
150,X2,0.405628054027227
150,X3,0.253901951707272
151,X1,0.404881728748283
151,X2,0.126306486781207
151,X3,0.0514292935860583
152,X1,0.7991355349133965
152,X2,0.267354170219744
152,X3,0.291527934168458
153,X1,0.441712252314609
153,X2,-0.0501041677000746
153,X3,-0.0468183550430883
154,X1,0.525817436364297
154,X2,0.428684495117151
154,X3,0.195428297833122
155,X1,1.65796603239406
155,X2,0.153919625365499
155,X3,-0.0685056212804004
156,X1,0.496375829620429
156,X2,0.216936304932397
156,X3,-0.0455556114102212
157,X1,0.0947339600522505
157,X2,0.0770524302831671
157,X3,0.056050558406745
158,X1,0.121192681588774
158,X2,0.158382322224687
158,X3,0.10947360405312
159,X1,0.253332549265646
159,X2,0.120869296358907
159,X3,-0.0221494174570203
160,X1,0.809701154556354
160,X2,0.466471530551541
160,X3,0.45981205736629
161,X1,0.353543851796698
161,X2,0.108309382966526
161,X3,0.183722603533944
162,X1,0.2832955408517
162,X2,0.128027783480507
162,X3,0.280188257466623
163,X1,-0.00282867746831052
163,X2,0.0281221988952002
163,X3,-0.0647329331811849
164,X1,0.277889112086032
164,X2,0.150528260645109
164,X3,0.00583758311011074
165,X1,0.0481989011915893
165,X2,0.207248623096676
165,X3,0.391248293567933
166,X1,0.0419903528397668
166,X2,0.0130118054392047
166,X3,0.0122634186031307
167,X1,1.30015350996752
167,X2,0.619245036349849
167,X3,0.560317654453083
168,X1,0.784237476862442
168,X2,0.543523390854367
168,X3,0.368142136065576
169,X1,0.196848548277815
169,X2,0.0620721817389716
169,X3,-0.0176844961072452
170,X1,0.77143767182507506
170,X2,0.319813627701561
170,X3,0.603452287462549
171,X1,-0.0622431149509582
171,X2,-0.0265882142292068
171,X3,0.124874335707956
172,X1,1.12081195774173
172,X2,0.252714935971206
172,X3,0.186641583448153
173,X1,0.724745042657331
173,X2,0.421649600785083
173,X3,0.231037420636874
174,X1,0.216328622793978
174,X2,0.147891500606151
174,X3,0.0954309624218726
175,X1,0.0775633137162981
175,X2,-0.0197907844599228
175,X3,-0.00415924331794561
176,X1,1.02330108420588
176,X2,0.3220011654923
176,X3,0.226445698819604
177,X1,NA
177,X2,NA
177,X3,NA
178,X1,0.451421191531261
178,X2,0.324632190766131
178,X3,0.353532733260727
179,X1,0.681294727239102
179,X2,0.271488595783314
179,X3,0.140808757733586
180,X1,0.896405049188819
180,X2,0.47479880100134503
180,X3,0.399353496627026
181,X1,1.67106738427891
181,X2,0.480324735501101
181,X3,0.0117857885708398
182,X1,0.342414204025259
182,X2,0.236003180248568
182,X3,0.147302092362052
183,X1,0.14783770312969702
183,X2,0.209021350279694
183,X3,0.054717984256461384
184,X1,0.664107178496659
184,X2,0.241339343861247
184,X3,0.16498654133052
185,X1,0.300888659055411
185,X2,-0.0339290714926684
185,X3,-0.184147016356933
186,X1,1.68033218212386
186,X2,0.622522695406478
186,X3,0.136213241316538
187,X1,1.541573679169105
187,X2,0.21885083602830185
187,X3,0.137216734607004
188,X1,0.1629086616067467
188,X2,0.07734480804034019
188,X3,-0.0035953883004090203
189,X1,0.841646062111996
189,X2,0.306040293821667
189,X3,0.263520962592315
190,X1,0.725723446690761
190,X2,0.137128770199041
190,X3,0.0409330544361781
191,X1,0.3622177417243665
191,X2,0.21872519833425302
191,X3,0.2287215944674175
192,X1,0.43679027787905
192,X2,0.090511255859806
192,X3,0.178714270415935
193,X1,0.808624066001397
193,X2,0.0698286632865307
193,X3,-0.0107292752439049
194,X1,0.417615962658754
194,X2,0.343322779051533
194,X3,0.303790135805865
195,X1,1.12609709489038
195,X2,0.330968069083593
195,X3,0.460781758275759
196,X1,1.74871413468846
196,X2,0.2515102512795
196,X3,-0.0843405598764184
197,X1,0.510319029118664
197,X2,0.21337036371832
197,X3,0.12738010475742
198,X1,0.306716295245606
198,X2,0.0972613317499072
198,X3,0.103727919691012
199,X1,NA
199,X2,NA
199,X3,NA
200,X1,0.15559385920332
