id,panas_type,mean_mu,mean_s,mean_vmu,mean5_mu,mean5_s,mean5_vmu,mean10_mu,mean10_s,mean10_vmu,mean5_kmu,mean10_kmu,mean5_vs,mean10_vs,last_mu,last_s,last_vmu
35,posminusneg_noCloseResponse,0.44686935992337,-2.08112340972594,-2.54824805569172,0.351504925316735,-2.12112085917709,-2.12811194438466,0.385254223824338,-2.08311603714137,-2.21951223505067,-4.8948896336824,-4.47847468842488,-4.48042858570977,-4.45002698514324,0.31837683702984,-2.09227595778703,-2.00551653785784
36,posminusneg_noCloseResponse,0.777703877485598,-1.22266752005155,-4.06830021399946,0.783231405375204,-1.17739192610613,-4.26260400552787,0.773066083028936,-1.19630545405503,-4.00571403270067,-5.30578264980198,-5.24067498034664,-4.60784982259119,-4.56866726866995,0.785298236029391,-1.1967777898896,-4.329965372325
37,posminusneg_noCloseResponse,0.543332078609475,-1.72816310362772,-2.99740824628526,0.56207354693528,-1.89533485247775,-2.24132956298205,0.571861753433195,-2.01099328023581,-2.11759937643387,-5.61879446695495,-5.61700744251367,-3.58620894976757,-3.60268460627699,0.53454739934283,-1.56350412555941,-2.84977614635706
38,posminusneg_noCloseResponse,0.464139840025159,-1.95070301748884,-4.48496044809699,0.464533229477501,-2.17424663135913,-4.73887760395699,0.464511159188629,-2.1692077691036,-4.733215389426,-5.33278534485164,-5.31075623063871,-4.57381931320709,-4.54097798820007,0.46512203708123,-2.13153150062019,-4.71985904228632
39,posminusneg_noCloseResponse,0.709235945150917,-1.68778359998057,-2.89931373423986,0.782861393319991,-1.65734380469282,-4.59937151631176,0.783389772918765,-1.79813349053602,-4.60166716898569,-4.40995133283116,-4.49385843320481,-2.16034750063911,-2.05690697033028,0.782368490576708,-1.58633965620913,-4.59332233141224
40,posminusneg_noCloseResponse,0.472435321347097,-1.55516782963079,-4.44315399269611,0.464035326492954,-1.45417597828391,-4.61847370454428,0.461800111603977,-1.46443529125378,-4.46586735152098,-5.27156559255045,-5.23375965182014,-4.34100982038712,-4.26033481079632,0.464823405492791,-1.46946909268076,-4.64336738291281
41,posminusneg_noCloseResponse,0.711139375991482,-1.71372423117712,-2.13389685405243,0.754836580993787,-1.76621101830193,-2.01675448552851,0.753113878730044,-1.74659661505729,-1.94612812480756,-5.20190217074857,-5.31285729527283,-4.4612388638852,-4.45796393347913,0.772367457755026,-1.79465420763399,-1.91990366788044
42,posminusneg_noCloseResponse,0.531435990058046,-1.97252553046647,-3.50627654706574,0.489851715461439,-1.88707579673352,-2.75171433349841,0.494745416947966,-1.84887622926357,-2.94404164382546,-5.5275523243588,-5.49399727974934,-4.55202174819165,-4.5198672748474,0.492134266942965,-1.90005325041671,-2.66660675698394
43,posminusneg_noCloseResponse,0.669662917846663,-1.73590124792577,-4.58748951669226,0.670887296486528,-1.59722188505867,-4.71281109497615,0.671977713236447,-1.60745846312552,-4.6765310670435,-5.30113692932511,-5.2465865146603,-4.47890079167327,-4.43566275826309,0.670868181576549,-1.59578554921704,-4.7252670597486
44,posminusneg_noCloseResponse,0.470829259259538,-1.54981451765175,-2.58608814167249,0.406498912949054,-1.60753281267248,-1.66831843298409,0.47967509918078,-1.60987146042819,-1.70753425521522,-5.36858137955945,-5.27583544721152,-4.47974606875581,-4.47262006474481,0.411722259440867,-1.50483439000019,-1.64909062167631
45,posminusneg_noCloseResponse,0.638542237385185,-1.47704173927638,-2.9989614193096,0.671256555083177,-1.58371334510061,-3.293783013876,0.659096546425442,-1.53819776335416,-3.20895135619583,-5.10979243130369,-5.05148251851694,-3.9197948495019,-4.00752425026177,0.669036261771472,-1.54543045650219,-3.47911023270367
46,posminusneg_noCloseResponse,0.576660901552309,-1.38225593015276,-3.15746765233013,0.600409809186269,-0.964067561224878,-4.56390218236642,0.601981268633758,-0.992974538873131,-4.57369630607006,-5.16569511691529,-5.15416440259212,-3.87584816551908,-3.86635892805786,0.593405920881804,-0.978985626721469,-4.38920548518392
47,posminusneg_noCloseResponse,0.670285423150219,-1.17267938009778,-4.28407726684794,0.671356690013606,-1.36881054478148,-4.66795864493855,0.674452827405927,-1.38149842586708,-4.5633013429473,-5.26632723673426,-5.17471316513387,-4.4267441630514,-4.31803869910722,0.671907509501708,-1.39090724109966,-4.69918884125469
48,posminusneg_noCloseResponse,0.637851388324504,-1.24648782571245,-2.56139613095338,0.594943310828657,-1.01895216224721,-2.18943006280341,0.565349739609253,-0.984768654000661,-2.11874265036534,-4.35022204685425,-4.15680787175255,-4.34423120785485,-4.31258178310907,0.629127676808725,-1.05653147600417,-2.16674281011118
49,posminusneg_noCloseResponse,0.747336308777827,-1.65705856283466,-3.61951159743411,0.731600227200503,-1.58797576547749,-4.66127797041854,0.731449920917152,-1.6019106025349,-4.66016636401612,-5.29148433996119,-5.28066096372659,-4.48520978212091,-4.41605162308518,0.729555155888919,-1.55076392484362,-4.66397878294275
50,posminusneg_noCloseResponse,0.37211954246972,-0.95533406047649,-3.87346685685325,0.329164506184208,-0.869548447734906,-4.58602444904376,0.335946838727727,-0.871501309337212,-4.48358418867519,-5.26811841137408,-5.18970265299739,-4.51876483602558,-4.45335837314135,0.327420285405167,-0.879880877129716,-4.61437974144716
51,posminusneg_noCloseResponse,0.578898553162352,-1.55978773860595,-3.86632982993377,0.592873265124235,-1.58807602739923,-4.27442431580447,0.598106945073256,-1.80255149552979,-4.38539479974701,-4.92146215182469,-4.91894823142265,-3.02433127057566,-2.59600056039249,0.585389616555644,-1.56305247404089,-4.14669053931517
52,posminusneg_noCloseResponse,0.666358514898064,-1.47264617497906,-4.41194159914557,0.666330245568643,-1.43520990823457,-4.5122332513619,0.668177675972809,-1.45299633769887,-4.58093150581105,-5.22229940815679,-5.2393329592269,-4.63290667983471,-4.62178762754643,0.67017252568528,-1.44486915813735,-4.6330282223106
53,posminusneg_noCloseResponse,0.608971258860658,-1.82588235912997,-3.69268779895572,0.608222959863948,-1.6037853474326,-3.7429640356117,0.603969079893898,-1.69207932938444,-3.52203467093199,-4.4875598618085,-4.46826685147233,-4.3907204078738,-4.34306737729166,0.605439874796714,-1.58877956772222,-3.9480314894089
54,posminusneg_noCloseResponse,0.742667671849896,-1.53226166053086,-2.73586231034369,0.701073696728008,-2.09861752107293,-3.48266683414423,0.712301535752085,-1.67868990695123,-3.96914106485967,-4.24391675675098,-4.64954162646391,-2.4468946379402,-3.29241554529787,0.727862884729999,-2.05072652169709,-3.22172814919692
55,posminusneg_noCloseResponse,0.65078938764778,-1.54496090400167,-3.47667813221118,0.654238905665448,-1.28792793458662,-3.85372075397043,0.648497460074246,-1.31595135897538,-3.84517292004074,-4.52877472096274,-4.46615352851875,-3.04761735207879,-3.13133532793074,0.660553626942783,-1.30662714429335,-4.10951737650849
56,posminusneg_noCloseResponse,0.676000841906163,-1.52696702466437,-4.20928811284086,0.672934395765682,-1.72829102270999,-4.24996311808347,0.680411651853549,-1.62320607706681,-4.25853840375488,-5.02874237877337,-5.07372828875521,-3.14536529403904,-3.47853430228114,0.668032729140705,-1.49081128857466,-4.30008348129271
