subject,Local.Date.D1,wof_order,wofoutcome1,Local.Date.D2,wofoutcome2,Local.Date.D1.Day,Local.Date.D2.Day,day_diff
62,2021-01-30T21:08:30Z,Winsec,0,2021-01-31T22:07:59Z,1,2021-01-30,2021-01-31,1
250,2021-01-31T13:46:56Z,Winsec,0,2021-01-31T21:50:13Z,1,2021-01-31,2021-01-31,0
270,2021-01-31T15:09:18Z,Winsec,0,2021-02-02T12:39:51Z,1,2021-01-31,2021-02-02,2
261,2021-01-31T15:18:47Z,Winsec,0,2021-02-02T12:12:26Z,1,2021-01-31,2021-02-02,2
228,2021-01-31T23:45:14Z,Winfirst,1,2021-02-02T11:07:08Z,0,2021-01-31,2021-02-02,2
28,2021-02-01T09:10:05Z,Winfirst,1,2021-02-02T11:25:17Z,0,2021-02-01,2021-02-02,1
114,2021-02-03T22:53:54Z,Winfirst,1,2021-02-05T13:51:23Z,0,2021-02-03,2021-02-05,2
108,2021-02-25T18:57:08Z,Winsec,0,2021-02-27T14:01:18Z,1,2021-02-25,2021-02-27,2
215,2021-02-25T19:02:34Z,Winfirst,1,2021-02-27T17:59:53Z,0,2021-02-25,2021-02-27,2
226,2021-02-25T19:04:46Z,Winsec,0,2021-02-27T13:38:38Z,1,2021-02-25,2021-02-27,2
164,2021-02-25T19:06:48Z,Winfirst,1,2021-02-27T14:02:28Z,0,2021-02-25,2021-02-27,2
48,2021-02-25T19:12:28Z,Winfirst,1,2021-02-27T13:19:19Z,0,2021-02-25,2021-02-27,2
112,2021-02-25T20:12:54Z,Winsec,0,2021-02-27T14:30:55Z,1,2021-02-25,2021-02-27,2
74,2021-02-25T19:13:38Z,Winfirst,1,2021-02-27T14:04:39Z,0,2021-02-25,2021-02-27,2
144,2021-02-25T19:17:48Z,Winfirst,1,2021-02-27T13:22:04Z,0,2021-02-25,2021-02-27,2
289,2021-02-25T18:19:05Z,Winsec,0,2021-02-27T11:57:28Z,1,2021-02-25,2021-02-27,2
282,2021-02-25T12:23:12Z,Winsec,0,2021-02-27T11:33:21Z,1,2021-02-25,2021-02-27,2
170,2021-02-25T19:23:45Z,Winsec,0,2021-02-27T13:43:26Z,1,2021-02-25,2021-02-27,2
5,2021-02-25T18:23:51Z,Winsec,0,2021-02-27T12:14:00Z,1,2021-02-25,2021-02-27,2
11,2021-02-25T18:31:24Z,Winfirst,1,2021-02-27T12:51:19Z,0,2021-02-25,2021-02-27,2
320,2021-02-25T19:33:55Z,Winfirst,1,2021-02-27T13:40:13Z,0,2021-02-25,2021-02-27,2
107,2021-02-25T19:34:21Z,Winfirst,1,2021-02-27T21:20:52Z,0,2021-02-25,2021-02-27,2
92,2021-02-25T19:35:02Z,Winfirst,1,2021-02-27T13:13:15Z,0,2021-02-25,2021-02-27,2
240,2021-02-25T18:38:39Z,Winsec,0,2021-02-27T11:46:17Z,1,2021-02-25,2021-02-27,2
314,2021-02-25T12:54:11Z,Winfirst,1,2021-02-27T08:09:22Z,0,2021-02-25,2021-02-27,2
93,2021-02-25T19:56:45Z,Winfirst,1,2021-02-27T17:43:30Z,0,2021-02-25,2021-02-27,2
256,2021-02-25T18:57:26Z,Winfirst,1,2021-02-27T12:03:24Z,0,2021-02-25,2021-02-27,2
241,2021-02-25T18:58:49Z,Winsec,0,2021-02-27T11:53:15Z,1,2021-02-25,2021-02-27,2
94,2021-02-25T19:58:54Z,Winfirst,1,2021-02-27T18:52:43Z,0,2021-02-25,2021-02-27,2
255,2021-02-25T19:00:25Z,Winsec,0,2021-02-27T12:04:23Z,1,2021-02-25,2021-02-27,2
244,2021-02-25T20:00:36Z,Winsec,0,2021-02-27T15:24:10Z,1,2021-02-25,2021-02-27,2
322,2021-02-25T20:03:41Z,Winfirst,1,2021-02-27T13:14:40Z,0,2021-02-25,2021-02-27,2
257,2021-02-25T19:03:58Z,Winsec,0,2021-02-27T12:09:03Z,1,2021-02-25,2021-02-27,2
49,2021-02-25T21:09:59Z,Winsec,0,2021-02-27T15:03:14Z,1,2021-02-25,2021-02-27,2
98,2021-02-25T20:11:31Z,Winsec,0,2021-02-27T18:39:21Z,1,2021-02-25,2021-02-27,2
137,2021-02-25T19:13:36Z,Winfirst,1,2021-02-27T13:51:11Z,0,2021-02-25,2021-02-27,2
160,2021-02-25T20:14:51Z,Winsec,0,2021-02-27T13:08:32Z,1,2021-02-25,2021-02-27,2
203,2021-02-25T21:17:51Z,Winsec,0,2021-02-27T21:25:27Z,1,2021-02-25,2021-02-27,2
306,2021-02-25T20:19:31Z,Winfirst,1,2021-02-27T13:20:27Z,0,2021-02-25,2021-02-27,2
154,2021-02-25T20:21:57Z,Winfirst,1,2021-02-27T15:17:25Z,0,2021-02-25,2021-02-27,2
292,2021-02-25T19:25:01Z,Winfirst,1,2021-02-27T16:02:34Z,0,2021-02-25,2021-02-27,2
197,2021-02-25T19:25:17Z,Winsec,0,2021-02-27T11:53:09Z,1,2021-02-25,2021-02-27,2
133,2021-02-25T19:27:16Z,Winsec,0,2021-02-27T12:02:41Z,1,2021-02-25,2021-02-27,2
30,2021-02-25T19:31:57Z,Winfirst,1,2021-02-27T12:45:57Z,0,2021-02-25,2021-02-27,2
317,2021-02-25T19:33:27Z,Winfirst,1,2021-02-27T13:56:57Z,0,2021-02-25,2021-02-27,2
63,2021-02-25T20:34:20Z,Winsec,0,2021-02-27T14:53:20Z,1,2021-02-25,2021-02-27,2
190,2021-02-25T20:36:58Z,Winsec,0,2021-02-27T12:59:23Z,1,2021-02-25,2021-02-27,2
189,2021-02-25T20:37:50Z,Winfirst,1,2021-02-27T19:42:56Z,0,2021-02-25,2021-02-27,2
1,2021-02-25T19:42:02Z,Winsec,0,2021-02-27T13:54:16Z,1,2021-02-25,2021-02-27,2
296,2021-02-25T20:43:09Z,Winsec,0,2021-02-27T13:19:39Z,1,2021-02-25,2021-02-27,2
71,2021-02-25T20:43:26Z,Winsec,0,2021-02-27T12:55:00Z,1,2021-02-25,2021-02-27,2
274,2021-02-25T13:47:24Z,Winsec,0,2021-02-27T09:44:35Z,1,2021-02-25,2021-02-27,2
31,2021-02-25T20:47:50Z,Winsec,0,2021-02-27T17:40:43Z,1,2021-02-25,2021-02-27,2
186,2021-02-25T19:48:35Z,Winsec,0,2021-02-27T15:30:03Z,1,2021-02-25,2021-02-27,2
56,2021-02-25T21:53:49Z,Winsec,0,2021-02-27T13:55:21Z,1,2021-02-25,2021-02-27,2
86,2021-02-25T19:57:55Z,Winfirst,1,2021-02-27T16:13:39Z,0,2021-02-25,2021-02-27,2
313,2021-02-25T20:00:03Z,Winsec,0,2021-02-27T14:38:34Z,1,2021-02-25,2021-02-27,2
233,2021-02-25T22:04:55Z,Winsec,0,2021-02-27T22:16:59Z,1,2021-02-25,2021-02-27,2
167,2021-02-25T20:26:06Z,Winsec,0,2021-02-27T13:54:33Z,1,2021-02-25,2021-02-27,2
258,2021-02-25T20:29:34Z,Winfirst,1,2021-02-27T13:38:56Z,0,2021-02-25,2021-02-27,2
230,2021-02-25T20:31:44Z,Winsec,0,2021-02-27T11:57:47Z,1,2021-02-25,2021-02-27,2
176,2021-02-25T15:32:29Z,Winfirst,1,2021-03-08T13:46:12Z,0,2021-02-25,2021-03-08,11
285,2021-02-25T21:53:37Z,Winfirst,1,2021-02-27T13:02:56Z,0,2021-02-25,2021-02-27,2
300,2021-02-25T20:59:54Z,Winsec,0,2021-02-27T16:38:49Z,1,2021-02-25,2021-02-27,2
288,2021-02-25T22:34:30Z,Winfirst,1,2021-02-27T13:11:20Z,0,2021-02-25,2021-02-27,2
326,2021-02-25T23:50:39Z,Winsec,0,2021-02-27T14:42:31Z,1,2021-02-25,2021-02-27,2
