subject,run,mu,s,vmu,kmu,vs,trial_id,day_block,moodrate,max_moodrate,min_moodrate,mu_orig,subj_day_block
72,d1r1,0.508242047631863,-1.64458359809577,-3.05591222751694,-4.46329490098965,-3.9731167759318202,18,day1_block1,6,6,3,5.08242047631863,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.549245424800575,-1.53540336087896,-3.35411250895897,-4.97664790810975,-4.08699308432783,19,day1_block1,5,6,3,5.4924542480057506,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.531127587052715,-1.48734733623923,-3.72536048095376,-4.94605688756679,-4.14862751206371,20,day1_block1,5,6,3,5.31127587052715,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.528579162480014,-1.50550948392338,-3.80257126785736,-4.94714252914271,-4.1686907527465,21,day1_block1,5,6,3,5.28579162480014,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.527834509517117,-1.5224377026834,-3.85803793170976,-4.94001194622485,-4.17520257191973,22,day1_block1,4,6,3,5.2783450951711695,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.481892528121517,-1.51745107069501,-3.10195639678607,-5.09184437325667,-4.2482966099985,23,day1_block1,3,6,3,4.81892528121517,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.348702446248237,-1.7242329199253,-1.65147501806861,-5.31352776790683,-4.14035560960895,24,day1_block1,5,6,3,3.4870244624823696,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.463332107200041,-1.39922010261764,-2.25117986422839,-4.9203389064767,-3.85174560934589,25,day1_block1,5,6,3,4.63332107200041,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.484890876624392,-1.44431546645294,-2.36898347045278,-5.02636486911755,-3.96192465234005,26,day1_block1,6,6,3,4.84890876624392,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.543750793146598,-1.40341957835119,-2.63057030155253,-5.12323668511504,-3.96302632309553,27,day1_block1,6,6,3,5.43750793146598,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.568401140763827,-1.51265761918778,-2.46564209436726,-5.29632749799746,-4.02991286666505,28,day1_block1,6,6,3,5.68401140763827,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.582037124873736,-1.66697954129548,-2.24196429319127,-5.39074493097951,-3.96360604536046,29,day1_block1,4,6,3,5.82037124873736,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.499664741218678,-1.28609409774575,-3.12639352828114,-5.15171092958457,-3.99785382818171,30,day1_block1,4,6,3,4.99664741218678,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.45489876901198,-1.47756488796293,-2.44655599392815,-5.21070196013904,-3.96531695708053,31,day1_block1,3,6,3,4.5489876901198,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.34817758617857,-1.62097553426136,-1.56602324069321,-5.32115792114696,-4.06683060727037,32,day1_block1,6,6,3,3.4817758617856995,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.50977855994683,-0.979300943596788,-3.07516685458981,-4.76466270382634,-3.33928393058502,33,day1_block1,5,6,3,5.0977855994683,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.504349632327525,-1.03944591021594,-3.26434069115575,-4.94628354383519,-3.55324615579624,34,day1_block1,5,6,3,5.04349632327525,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.504903057570453,-1.10278535501383,-3.34715322186798,-5.01875344730846,-3.69261529517201,35,day1_block1,4,6,3,5.0490305757045295,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.4723706688532,-1.11111473602691,-3.19458419533928,-4.98245630974703,-3.80443669072132,36,day1_block1,3,6,3,4.723706688532,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.399681044353459,-1.17157722045047,-2.45371034050802,-5.02616576959514,-3.72782135667885,37,day1_block1,5,6,3,3.9968104435345904,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.46217861943625,-1.02758942201768,-3.17192901589733,-4.93609753605801,-3.80415396231967,38,day1_block1,6,6,3,4.6217861943625,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.499658135750109,-0.98565704697282,-3.42400387683511,-4.95343956440428,-3.78247429648508,39,day1_block1,5,6,3,4.99658135750109,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.491906555394197,-1.01913025785664,-3.53493815949606,-4.99378084497737,-3.89920785392694,40,day1_block1,6,6,3,4.919065553941969,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.519353360679587,-1.04151742611174,-3.43552943010206,-5.1081739315527,-3.84957020164367,41,day1_block1,5,6,3,5.193533606795871,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.506864174385153,-1.05760937073777,-3.57540408933598,-5.11912421587508,-3.90162199046268,42,NA,NA,NA,NA,5.068641743851529,5e31a1526ef37a1879a94441_NA
72,d2r1,0.500000000000002,-1.15129254649702,-1.15129254649702,-2.64915868327402,-1.15129254649702,1,day2_block1,5,6,3,5.0000000000000195,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.5,-0.586268253138013,-1.15129254649702,-2.64915868327402,-1.15129254649702,2,day2_block1,5,6,3,5,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.499999999999999,-1.19957299238506,-2.59305147582145,-2.64535285074084,-2.09329171076344,3,day2_block1,5,6,3,4.99999999999999,5e31a1526ef37a1879a94441_day2_block1
