subject,run,mean_mu,mean_s,mean_vmu,mean5_mu,mean5_s,mean5_vmu,mean10_mu,mean10_s,mean10_vmu,mean5_kmu,mean10_kmu,mean5_vs,mean10_vs,last_mu,last_s,last_vmu,subj_day_block
183,d1r1,0.600332385117585,-2.38456373264718,-4.37646705789104,0.605530221571866,-3.0818260031079,-4.74500859084995,0.605529716333621,-3.0400505713798,-4.7406976117905,-5.33910294221381,-5.31987996096587,0.122201254819804,0.167147297225904,0.605530504582203,-3.10934597024775,-4.74784366034673,5f2352b4912f8710d7e186c8_day1_block1
183,d1r2,0.553474515963332,-1.93139712801414,-2.63623080525032,0.558366362792019,-1.97924349362441,-2.14513264720607,0.536012862058,-1.86509398562529,-2.15067504506723,-5.48413745563636,-5.43746786314459,-1.77250394078665,-1.56410682194521,0.544217184739105,-1.71209369597081,-2.18145506945397,5f2352b4912f8710d7e186c8_day1_block2
183,d2r1,0.561324029193866,-2.04000630349615,-3.39471032245869,0.527726254806306,-1.64625592595305,-2.61506344568494,0.519927310100604,-1.70291698473991,-2.55203154424084,-4.21310855031942,-4.27155319710927,-1.01080862468307,-0.951263007246465,0.525409354259222,-1.69149294427322,-2.70237285503867,5f2352b4912f8710d7e186c8_day2_block1
183,d2r2,0.598676106400994,-1.95903629399924,-4.19380838135845,0.604935864708569,-1.7378534499891,-4.71009130183203,0.605073366110157,-1.80261525174189,-4.70977819423232,-5.2742127965419,-5.25657263038607,0.570373930478137,0.530698561385898,0.604991904756302,-0.912886694698149,-4.71642534469335,5f2352b4912f8710d7e186c8_day2_block2
184,d1r1,0.630495463207502,-0.685042644413011,-2.83257746083337,0.546108387535816,-0.478058334986427,-2.44110994760337,0.55450751114752,-0.424039309205055,-2.67341416417437,-5.07374877546701,-5.02658866657856,-4.3604499377545,-4.23455855568705,0.566890947328676,-0.489577185273982,-2.58764718880489,5f23cda9d12b451b7da3e09d_day1_block1
184,d1r2,0.48907396573489,-1.40872847830091,-2.88767323097161,0.454101169506197,-1.37379854854182,-3.20876446811995,0.452246390923471,-1.40181229621987,-2.95531696151182,-0.0818715067648693,-0.108345942585857,-4.35097421673682,-4.3398458683024,0.457763676403508,-1.31136661167303,-3.47958240976557,5f23cda9d12b451b7da3e09d_day1_block2
184,d2r1,0.577242440922315,-1.56670231360339,-2.59113205977389,0.56585738651708,-1.52241002353607,-2.89010857890428,0.561858222426875,-1.65645756212828,-2.55108511558105,-4.08275343281068,-4.24478234231143,-1.10923016666301,-1.07805843966206,0.542623655028453,-1.30170024605967,-2.99938707558661,5f23cda9d12b451b7da3e09d_day2_block1
184,d2r2,0.552054951912017,-1.24431072233751,-3.2708864553516,0.507517665040275,-1.12599908114247,-2.38948951077513,0.481938590044624,-1.0805754338914,-2.3026606728357,-4.91941679034941,-4.70467651923918,-3.93181666943937,-3.75411129387646,0.52171849129834,-1.16092389563009,-2.47066632243893,5f23cda9d12b451b7da3e09d_day2_block2
185,d1r1,0.681000373003729,-1.16542027115304,-3.52299609045523,0.712432139864343,-0.842833809409099,-3.75816606658216,0.699481417746828,-1.11814158494463,-3.73575427748898,-4.79879492127076,-4.8443697763123,-2.98614581425718,-3.09644563790007,0.7384092920036,-0.387917548572527,-3.46209680946342,5f25bd8a33e9fd0ad8fce3d4_day1_block1
185,d1r2,0.739494382287512,-1.45575625718712,-2.61609746015464,0.810204054256375,-1.11145784445361,-2.20642392903505,0.811769874624013,-1.34809671267315,-2.05026204896043,-3.64483155799803,-3.42038713989875,-2.617752717667,-3.13212661032347,0.81189248993196,-0.778031769972192,-2.45205452349129,5f25bd8a33e9fd0ad8fce3d4_day1_block2
